yr,Babies,B,G
1974,3137,1167,1970
1975,3176,1169,2007
1976,3245,1222,2023
1977,3271,1221,2050
1978,3417,1338,2079
1979,3508,1314,2194
1980,3471,1264,2207
1981,3606,1328,2278
1982,3537,1324,2213
1983,3535,1277,2258
1984,3638,1337,2301
1985,3751,1362,2389
1986,3819,1369,2450
1987,3871,1386,2485
1988,4045,1462,2583
1989,3986,1362,2624
1990,4195,1517,2678
1991,4583,1646,2937
1992,4564,1694,2870
1993,4558,1669,2889
1994,4575,1714,2861
1995,4611,1713,2898
1996,4739,1821,2918
1997,4833,1816,3017
1998,4765,1851,2914
1999,4714,1835,2879
2000,4900,1899,3001
2001,4955,1974,2981
2002,5195,2054,3141
2003,5463,2180,3283
2004,5728,2342,3386
2005,6121,2519,3602
2006,6360,2710,3650
2007,6770,2855,3915
2008,7313,3085,4228
2009,7337,3153,4184
2010,7436,3149,4287
2011,7518,3241,4277
2012,7737,3298,4439
2013,7805,3409,4396
2014,7786,3359,4427
2015,7833,3359,4474
2016,7795,3465,4330
2017,7884,3476,4408
2018,7799,3465,4334
2019,7813,3535,4278
2020,7722,3375,4347
2021,7655,3458,4197
2022,8075,3667,4408
2023,8198,3704,4494
